resolucion,genre,deaths,sharktype
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,f,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,f,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,f,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,f,0.0,whiteshark
bite,m,0.0,whiteshark
bite,,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
death,,1.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
death,f,1.0,whiteshark
bite,,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,f,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,f,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,f,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
death,f,1.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
death,f,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
